scenario,label,runs,mean_late_count,std_late_count,mean_total_lateness_min,std_total_lateness_min,mean_distance_km,std_distance_km,mean_relay_task_count,mean_wall_seconds
pure_direct,Direct（原点起点）,3,64.0,2.0,2110.267952017042,57.2113993688468,627.0902530381127,10.044612177287226,0.0,239.95193952764384
direct_relay,Direct + Relay（原点起点）,3,64.0,1.0,2103.654407178577,52.94295171258443,628.9153638959623,11.994150393878492,2.3333333333333335,479.98241173592396
direct_stations,Direct + Station（需求驱动预部署）,3,59.333333333333336,0.5773502691896257,1874.3460687974239,93.45038984888025,612.1098936370563,12.719462428599952,0.0,479.95056043060805
direct_relay_stations,Direct + Relay + Station,3,59.333333333333336,0.5773502691896257,1860.7235403093312,101.12986569828045,613.8643222631141,11.316675181192396,6.0,719.9839355976632
