method,semantics,task_count,run_count,evaluation_valid_run_count,valid_run_count,runtime_compliant_run_count,official_semantics_compliant_run_count,official_plan_compliant_run_count,summary_eligible_run_count,on_time_count_mean,on_time_count_min,on_time_count_max,on_time_rate_mean,on_time_rate_min,on_time_rate_max,distance_km_mean,distance_km_min,distance_km_max,runtime_seconds_mean,budget_seconds,relay_count_mean
relay-disabled,strict-touch,200,1,1,1,1,1,1,1,97.0,97.0,97.0,0.485,0.485,0.485,796.8462567478381,796.8462567478381,796.8462567478381,11.056953166029416,12.0,0.0
static-multihub,strict-touch,200,1,1,1,1,1,1,1,98.0,98.0,98.0,0.49,0.49,0.49,785.263781052154,785.263781052154,785.263781052154,11.061525249970146,12.0,0.0
