scenario,method,label,seed,run_order,valid,late_count,total_lateness_min,distance_km,runtime_seconds,search_runtime_seconds,iterations,enable_late_risk_destroy,enable_rejection_pool,rejection_attempts,rejection_events,reinserted_task_count,peak_rejected_count,final_rejected_count,enable_soft_deadline,soft_deadline_beta,internal_search_score_enabled,risk_aware_insertion_enabled,risk_aware_lateness_lambda,solution_file,routes_sha256
equal_iterations,baseline,A2,2026080500,1,True,105,4230.116735433213,765.3857544430806,5.257156625040807,0.5746919169905595,5,False,False,0,0,0,0,0,False,0.2,False,False,1.0,run_solutions/equal_iterations__baseline__seed_2026080500.json,1daaa2c9cc048f37ca94c228d110c4b9124a1e96a7cd1ca7d070d80a11b42109
equal_iterations,experiment3,A2 + soft_deadline,2026080500,2,True,105,4333.16945284083,776.4092800544868,5.436624625057448,0.7541599170072004,5,False,False,0,0,0,0,0,True,0.2,True,True,1.0,run_solutions/equal_iterations__experiment3__seed_2026080500.json,7b5e1e2863c4a530e4d1d44d0ad778fb673d6d9715b14870ec58c413a4b9452c
