method_id,method_label,runs,lexicographic_best_cells,mean_late_rate,sd_late_rate,mean_lateness_per_task_min,sd_lateness_per_task_min,mean_distance_per_task_km,sd_distance_per_task_km,mean_total_runtime_seconds,sd_total_runtime_seconds,valid_rate
nearest_adjacent,最近邻成对贪心,15,0,0.42888888888888893,0.06888504853606897,39.843007561123024,11.29464405963729,16.1775879975897,1.4979219849137972,0.015180094400420785,0.012822170054260073,1.0
edd_adjacent,最早截止期成对贪心,15,0,0.7414814814814814,0.03404444306298092,67.7126801259719,13.08471706471366,20.703745883401233,1.8527032438502196,0.0015086194189886252,0.0011295384149066952,1.0
greedy_full_position,全位置词典序贪心,15,0,0.23814814814814814,0.0986207052490565,11.922063434839087,7.613277272927217,12.383718705639133,1.5189563477404635,0.006782902823761106,0.004444030971521471,1.0
full_alns,完整C2-Lex-ALNS,15,15,0.10481481481481482,0.04713421615711291,6.017592388490944,3.0882277476870916,10.496976030316677,0.899882703229735,1.3058990861289204,0.766420994158492,1.0
