baseline,losses,method,pairs,scenario,ties,wins
baseline,1,experiment1,1,equal_wall_clock_10s,0,0
baseline,0,experiment2,1,equal_wall_clock_10s,0,1
baseline,1,experiment3,1,equal_wall_clock_10s,0,0
baseline,0,experiment4,1,equal_wall_clock_10s,0,1
