baseline,baseline_distance_km,baseline_late_count,baseline_total_lateness_min,distance_delta_km,late_count_delta,method,method_distance_km,method_late_count,method_total_lateness_min,outcome,scenario,seed,total_lateness_delta_min
baseline,781.9247490451677,104,4039.6390198162294,-21.188755066227714,0,experiment1,760.73599397894,104,4105.426912778278,loss,equal_wall_clock_10s,2026080500,65.78789296204877
baseline,781.9247490451677,104,4039.6390198162294,-28.22778268848458,-2,experiment2,753.6969663566831,102,3900.3392916121206,win,equal_wall_clock_10s,2026080500,-139.29972820410876
baseline,781.9247490451677,104,4039.6390198162294,-5.515468990680915,1,experiment3,776.4092800544868,105,4333.16945284083,loss,equal_wall_clock_10s,2026080500,293.53043302460037
baseline,781.9247490451677,104,4039.6390198162294,-2.3556179513136613,-2,experiment4,779.569131093854,102,4194.859303617567,win,equal_wall_clock_10s,2026080500,155.2202838013377
