a2_score,capacity_halns_score,distance_delta_new_minus_a2,iterations_delta_new_minus_a2,late_count_delta_new_minus_a2,runtime_delta_new_minus_a2,seed,total_lateness_delta_new_minus_a2,winner
"[71, 2413.8830756410025, 650.2510444477645]","[69, 2299.505133575563, 640.2259817523477]",-10.02506269541675,-409,-2,9.779195534065366e-05,2026080500,-114.37794206543958,capacity_halns
"[69, 2248.676749036226, 629.8120997108717]","[72, 2346.709342308882, 639.9101453037558]",10.098045592884091,-378,3,0.002918624028097838,2026080501,98.03259327265596,a2
"[68, 2290.5770179809215, 640.383094172405]","[72, 2338.8326535870056, 660.4849808485103]",20.101886676105323,-271,4,-0.0004533329629339278,2026080502,48.25563560608407,a2
