id,seed,late_count,total_lateness_min,distance_km,runtime_seconds,iterations_per_second,iterations,time_to_best_seconds,best_update_count
mild1_destroy07,2026080500,69,2302.9863052819114,634.0500254198195,238.0015652000002,33.99137309539002,,214.4188024000032,296
mild2_destroy065,2026080500,66,2124.1329317844747,622.750039784915,238.00066479999805,36.302419605678644,,231.16148409999732,303
mild3_combo07,2026080500,65,2128.8870364865775,628.1580380960992,238.0008269999962,34.94945838990775,,223.25454779999563,313
mild4_cand40_destroy07,2026080500,69,2302.9863052819114,634.0500254198195,238.0006766000006,33.73519821329777,,216.11358550000296,296
