scenario,method,runs,mean_late_count,mean_total_lateness_min,mean_distance_km,mean_runtime_seconds,mean_iterations,best_seed,best_late_count,best_total_lateness_min,best_distance_km
equal_iterations,baseline,1,105.0,4230.116735433213,765.3857544430806,4.500854415935464,5.0,2026080500,105,4230.116735433213,765.3857544430806
equal_iterations,experiment2,1,104.0,4487.186907663043,794.1423383460543,4.542566124990117,5.0,2026080500,104,4487.186907663043,794.1423383460543
