run_id,source_branch,snapshot_commit,source_file_sha256,experiment_family,experiment_stage,scenario,method,variant,label,seed,task_count,on_time_count,on_time_rate,distance_km,valid,compliant,is_new_experiment,experiment_role,source_file
0f94304c248ac211,codex/alns-core-comparison,eb8e2d2fff15,d2e576702e5bb43436c8c1c4ae7e6dbfbcb085d3dd16296a2e8c396dfbac518f,core_comparison,fixed_iterations_400,equal_iterations_400,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,2026080503,200,120,0.6,690.9743540144424,True,True,False,existing,algorithm/results/alns_core_comparison/comparison_runs.csv
242caac572282657,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,2026080504,200,117,0.585,687.6287265578436,True,True,False,existing,algorithm/results/benchmark_runs.csv
2aac4c1ccde00135,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,2026080501,200,119,0.595,701.1153513096586,True,True,False,existing,algorithm/results/benchmark_runs.csv
2b58209d925b8a07,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-ALNS,C2-Lex-ALNS,C2-Lex-ALNS,2026080500,200,111,0.555,768.9286361309403,True,True,False,existing,algorithm/results/benchmark_runs.csv
3fe797c25e86fc1e,codex/alns-core-comparison,eb8e2d2fff15,d2e576702e5bb43436c8c1c4ae7e6dbfbcb085d3dd16296a2e8c396dfbac518f,core_comparison,fixed_iterations_400,equal_iterations_400,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,2026080504,200,117,0.585,687.6287265578436,True,True,False,existing,algorithm/results/alns_core_comparison/comparison_runs.csv
4730086004ca541f,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,2026080503,200,116,0.58,736.7997681994767,True,True,False,existing,algorithm/results/benchmark_runs.csv
4ee12cc72e0a1060,codex/alns-core-comparison,eb8e2d2fff15,d2e576702e5bb43436c8c1c4ae7e6dbfbcb085d3dd16296a2e8c396dfbac518f,core_comparison,fixed_iterations_400,equal_iterations_400,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,2026080502,200,118,0.59,707.1358368906843,True,True,False,existing,algorithm/results/alns_core_comparison/comparison_runs.csv
8e32d921fcabdadd,codex/alns-core-comparison,eb8e2d2fff15,d2e576702e5bb43436c8c1c4ae7e6dbfbcb085d3dd16296a2e8c396dfbac518f,core_comparison,fixed_iterations_400,equal_iterations_400,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,2026080500,200,111,0.555,768.9286361309403,True,True,False,existing,algorithm/results/alns_core_comparison/comparison_runs.csv
99906ff76d956265,codex/alns-core-comparison,eb8e2d2fff15,d2e576702e5bb43436c8c1c4ae7e6dbfbcb085d3dd16296a2e8c396dfbac518f,core_comparison,fixed_iterations_400,equal_iterations_400,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core,2026080501,200,117,0.585,727.0157897693191,True,True,False,existing,algorithm/results/alns_core_comparison/comparison_runs.csv
9f623af36fa3fd6c,codex/uav-alns-dispatch,a39f80593aa4,9955a953cbf49ef167dfc6c1d61a2f1d8367b59abde32fe864318a245acbe2cd,uav_benchmark,fixed_iterations_400,fleet_n200,C2-Lex-HALNS,C2-Lex-HALNS,C2-Lex-HALNS,2026080504,200,124,0.62,694.6948209650858,True,True,False,existing,algorithm/results/benchmark_runs.csv
