source_branch,control_label,treatment_label,paired_seed_count,control_on_time_count_mean,treatment_on_time_count_mean,on_time_count_delta,control_on_time_rate_mean,treatment_on_time_rate_mean,on_time_rate_delta_pp,control_distance_km_mean,treatment_distance_km_mean,distance_km_delta
codex/uav-alns-dispatch,C2-Lex-HALNS [halns_control],C2-Lex-HALNS [halns_treatment],3,128.66666666666666,128.0,-0.6666666666666572,0.6433333333333334,0.64,-0.33333333333334103,657.1273008197154,665.6658876475559,8.538586827840504
codex/alns-core-comparison,C2-Lex-ALNS-Core,C2-Lex-ALNS-Core [core_treatment],3,129.66666666666666,128.0,-1.6666666666666572,0.6483333333333333,0.64,-0.8333333333333304,646.5605199919357,656.1499325522755,9.589412560339724
codex/stronger-uav-neighborhoods,A2 +risk,A7 +risk +on-time-distance +deferred,3,130.0,125.33333333333333,-4.666666666666671,0.65,0.6266666666666666,-2.333333333333343,643.9484561941587,649.1001705495042,5.151714355345575
feature/capacity-aware-halns,Capacity-aware HALNS,Capacity-aware HALNS punctuality-first sacrifice treatment,3,129.0,128.33333333333334,-0.6666666666666572,0.645,0.6416666666666667,-0.33333333333332993,646.8737026348713,670.553163221219,23.679460586347773
feature/adaptive-deadline-rejection-pool,A2 + late_risk_destroy,A2 + late_risk_destroy + deferred sacrifice pool,3,131.33333333333334,127.0,-4.333333333333343,0.6566666666666667,0.635,-2.1666666666666723,645.8538657513064,667.0079527559011,21.154087004594658
