best_distance_km,best_late_count,best_total_lateness_min,ci95_half_width_distance_km,ci95_half_width_iterations,ci95_half_width_iterations_per_search_second,ci95_half_width_late_count,ci95_half_width_on_time_rate,ci95_half_width_runtime_seconds,ci95_half_width_time_to_best_seconds,ci95_half_width_total_lateness_min,compliant_rate,max_distance_km,max_iterations,max_iterations_per_search_second,max_late_count,max_on_time_rate,max_runtime_seconds,max_time_to_best_seconds,max_total_lateness_min,mean_distance_km,mean_iterations,mean_iterations_per_search_second,mean_late_count,mean_on_time_rate,mean_runtime_seconds,mean_time_to_best_seconds,mean_total_lateness_min,median_distance_km,median_iterations,median_iterations_per_search_second,median_late_count,median_on_time_rate,median_runtime_seconds,median_time_to_best_seconds,median_total_lateness_min,method,min_distance_km,min_iterations,min_iterations_per_search_second,min_late_count,min_on_time_rate,min_runtime_seconds,min_time_to_best_seconds,min_total_lateness_min,runs,scenario,sd_distance_km,sd_iterations,sd_iterations_per_search_second,sd_late_count,sd_on_time_rate,sd_runtime_seconds,sd_time_to_best_seconds,sd_total_lateness_min,valid_rate
690.9743540144424,80,2794.047000576955,41.324221319551384,0.0,0.3170952507899692,4.173243074636319,0.020866215373181552,1.9470331219231696,6.650128728745956,354.74320628102845,1.0,768.9286361309403,400.0,8.36036045562916,89.0,0.6,55.25841345801018,51.313182250014506,3436.460047216901,716.3366686726459,400.0,8.106293106037795,83.4,0.583,53.46814222500543,48.3630329502048,3056.266012405402,707.1358368906843,400.0,8.201210052378578,83.0,0.585,52.85752308400697,51.07249300001422,2963.034429090041,C2-Lex-ALNS-Core,687.6287265578436,400.0,7.816441679941196,80.0,0.555,51.929059665999375,38.88295587498578,2794.047000576955,5,equal_iterations_400,33.28665993795496,0.0,0.2554202219411798,3.361547262794322,0.016807736313971578,1.5683351639278975,5.356678637103824,285.7456497840814,1.0
694.6948209650858,76,2860.032371492552,21.520356831158217,0.0,,3.9843095462074727,0.019921547731037378,3.4477169283469453,11.344879778343502,226.46983348094605,1.0,736.7997681994767,400.0,,84.0,0.62,66.06955212497269,66.06929541699355,3224.856965350853,714.3381049920283,400.0,,80.6,0.597,63.76308513378026,58.63812838378944,2970.6044498069746,713.1134601767968,400.0,,81.0,0.595,64.71657475098618,60.01205749998917,2973.3687491005408,C2-Lex-HALNS,694.6948209650858,400.0,,76.0,0.58,59.23556866697618,43.15818433399545,2746.535897755074,5,equal_iterations_400,17.334647253069793,0.0,,3.2093613071762426,0.016046806535881225,2.777135957838812,9.138300569502457,182.4214490333045,1.0
631.4177643790018,67,2161.8715130366154,35.28193342885936,241.08323137663473,1.035598447670467,7.171666666666667,0.03585833333333337,0.11795414625627812,5.586974597079638,378.3811577120584,1.0,657.2447398622596,1792.0,7.681026832563392,72.0,0.665,238.12126158399042,237.852560542,2447.38266026752,647.7435507708836,1715.0,7.34929416578294,70.33333333333333,0.6483333333333333,238.0927436950054,235.2565576946654,2335.276463890615,654.5681480713895,1747.0,7.4854703691312565,72.0,0.64,238.11903487500967,234.01361154200276,2396.575218367709,C2-Lex-ALNS-Core,631.4177643790018,1606.0,6.88138529565417,67.0,0.64,238.03793462601607,233.9035009999934,2161.8715130366154,3,equal_wall_clock_240s,14.20174326935794,97.04122835166504,0.4168508314210337,2.8867513459481287,0.014433756729740658,0.047479101621957696,2.2488784249915383,152.30662091192596,1.0
659.6903679778536,70,2496.4711947090927,10.924484909686877,169.0323951173594,0.728031461251689,6.5729410717983265,0.032864705358991664,1.471314227980431,20.833188516327848,225.81534393447666,1.0,659.6903679778536,1072.0,4.596063720413103,75.0,0.65,239.09766366699478,239.09707524999976,2496.4711947090927,655.1203941650596,1002.6666666666666,4.2914952589136215,72.0,0.64,238.41387020866387,233.59244547234266,2402.7471615398504,654.751946263848,1000.0,4.266905715792696,71.0,0.645,238.07992449999438,237.73912325000856,2396.79797081701,C2-Lex-HALNS,650.9188682534768,936.0,4.011516340535067,70.0,0.625,238.06402245900244,223.94113791701966,2314.972319093449,3,equal_wall_clock_240s,4.397342066023047,68.03920438492305,0.2930484500108152,2.6457513110645907,0.013228756555322964,0.5922358811901196,8.385810131057474,90.89557258265258,1.0
