baseline,losses,method,pairs,scenario,ties,wins
baseline,0,experiment1,1,equal_iterations,1,0
baseline,0,experiment2,1,equal_iterations,0,1
baseline,1,experiment3,1,equal_iterations,0,0
baseline,0,experiment4,1,equal_iterations,0,1
