baseline,baseline_distance_km,baseline_late_count,baseline_total_lateness_min,distance_delta_km,late_count_delta,method,method_distance_km,method_late_count,method_total_lateness_min,outcome,scenario,seed,total_lateness_delta_min
baseline,765.3857544430806,105,4230.116735433213,0.0,0,experiment1,765.3857544430806,105,4230.116735433213,tie,equal_iterations,2026080500,0.0
baseline,765.3857544430806,105,4230.116735433213,28.756583902973716,-1,experiment2,794.1423383460543,104,4487.186907663043,win,equal_iterations,2026080500,257.07017222982995
baseline,765.3857544430806,105,4230.116735433213,11.023525611406171,0,experiment3,776.4092800544868,105,4333.16945284083,loss,equal_iterations,2026080500,103.05271740761691
baseline,765.3857544430806,105,4230.116735433213,1.464647576090215,-1,experiment4,766.8504020191708,104,4351.484549839937,win,equal_iterations,2026080500,121.36781440672439
