solution_label,late_count,total_lateness_min,distance_km,physically_impossible,scheduling_failures,on_time,late_task_ids (first 10)
best_alns_400iter,80,2794.047000576955,690.9743540144424,0,80,120,1 / 2 / 3 / 5 / 8 / 12 / 13 / 17 / 20 / 24
best_a2_240s_seed0,71,2413.8830756410025,650.2510444477645,0,71,129,2 / 3 / 8 / 9 / 12 / 15 / 16 / 17 / 20 / 22
best_a2_240s_seed1,69,2248.676749036226,629.8120997108717,0,69,131,3 / 5 / 6 / 7 / 15 / 16 / 17 / 23 / 24 / 25
best_a2_240s_seed2,68,2290.5770179809215,640.383094172405,0,68,132,3 / 5 / 8 / 12 / 15 / 16 / 17 / 19 / 22 / 23
