solution_label,task_id,deadline_min,direct_completion_min,latest_pickup_min,solution_pickup_min,solution_delivery_min,category
best_alns_400iter,1,30.0,13.318547286285375,26.095128082592463,83.71089619026995,88.22793683915506,scheduling_failure
best_alns_400iter,2,43.0,9.75268820791451,36.048590159871736,63.93328312548495,71.79316175186257,scheduling_failure
best_alns_400iter,3,34.8,17.387742075672712,26.160005429814234,80.26021733272722,90.16981118876123,scheduling_failure
best_alns_400iter,4,27.9,7.136344269809599,25.066296320500346,5.100487045746039,8.23575483802463,on_time
best_alns_400iter,5,35.0,9.30227164927708,31.96333109728911,40.0067093686838,43.12633184592223,scheduling_failure
best_alns_400iter,6,24.8,11.412726514666286,21.086078908142607,20.751525847414868,24.62063398578445,on_time
best_alns_400iter,7,54.7,13.696366503235534,47.3241468373792,46.58190437844222,54.46446473131016,on_time
best_alns_400iter,8,39.6,14.449690755151355,33.32679615987548,48.88708032652422,55.806820506674974,scheduling_failure
best_alns_400iter,9,28.4,8.667963202909007,25.107265761493633,20.97179288152259,25.31522824878224,on_time
best_alns_400iter,10,26.9,9.337886899251748,24.75624651315836,23.223705383449897,26.386118529484637,on_time
best_alns_400iter,11,42.1,12.174549713317514,41.14871756475538,22.335365697258148,23.28664813250277,on_time
best_alns_400iter,12,35.9,14.125500560795754,30.24572160240311,56.91885969570107,63.028530002508184,scheduling_failure
best_alns_400iter,13,29.2,8.727464831679153,25.713447349785746,37.356987591585565,40.84354024179982,scheduling_failure
best_alns_400iter,14,49.5,7.862077188049531,47.41143619550848,9.350188648024766,11.438752452516287,on_time
best_alns_400iter,15,48.5,15.258934178592634,40.84225156386611,12.806123897427453,23.618407303994168,on_time
best_alns_400iter,16,31.3,15.841065956487942,25.282689579940385,14.369720205401366,28.54088791544641,on_time
best_alns_400iter,17,37.2,15.835975575364568,31.195392715424656,63.28609463492776,74.48145841583334,scheduling_failure
best_alns_400iter,18,36.6,10.418371158195585,33.88688598574977,8.564517521120809,12.538524253816277,on_time
best_alns_400iter,19,47.2,12.08851219222583,42.07397104577957,27.9661052195576,33.199036686814125,on_time
best_alns_400iter,20,26.3,11.06884378884259,22.398227689819173,30.35180397689621,35.66769076402463,scheduling_failure
best_alns_400iter,21,47.9,8.617456346713809,45.48796740598973,13.767405821246392,16.179438415256662,on_time
best_alns_400iter,22,23.8,9.453872488467653,19.621202843040557,6.095920991930758,12.862044878538098,on_time
best_alns_400iter,23,42.2,11.194316721676751,35.12096644665512,31.26260785124924,41.03638060402928,on_time
best_alns_400iter,24,44.3,16.160245891124223,38.93337934227221,65.73462905541709,71.10124971314487,scheduling_failure
best_alns_400iter,25,37.0,18.14365440186684,29.80377327953422,81.51544629774796,93.90293994682304,scheduling_failure
best_alns_400iter,26,43.2,15.851370596616174,36.04182242656418,65.55945084382238,73.32204132256678,scheduling_failure
best_alns_400iter,27,48.0,7.676189999026545,45.51983174605003,41.64517447396818,46.99013732993681,on_time
best_alns_400iter,28,50.6,9.481600880295323,47.41012403971952,32.45461638686613,38.11871444854368,on_time
best_alns_400iter,29,33.3,12.773451505110696,29.65696165336381,66.63540750364783,70.27844585028402,scheduling_failure
best_alns_400iter,30,32.0,11.676977243274683,26.343614992062097,53.812953773038934,61.80075073578884,scheduling_failure
best_alns_400iter,31,56.5,14.957438682092242,50.24561881953,46.02487444357983,54.2518603031431,on_time
best_alns_400iter,32,46.1,12.272614695853004,40.83056800212329,71.36869839963335,77.17887634727593,scheduling_failure
best_alns_400iter,33,24.1,9.420944408070884,21.899551112013285,19.85146263877782,22.05191152676454,on_time
best_alns_400iter,34,43.6,13.918782226042024,38.10553589487846,91.01454798026116,97.71640490036565,scheduling_failure
best_alns_400iter,35,39.9,8.57868076269861,37.81937212705419,8.174635142278401,10.255263015224212,on_time
best_alns_400iter,36,25.6,9.47039040487065,23.071520243991817,7.638894400030403,10.167374156038587,on_time
best_alns_400iter,37,31.5,11.735310016459826,24.02420366354209,74.87804882244612,82.3540324532497,scheduling_failure
best_alns_400iter,38,31.4,12.109726873952011,29.023936235631357,22.81981564292698,25.669150861773954,on_time
best_alns_400iter,39,37.1,14.899788256329003,30.4942598848323,56.26060704935141,62.98691881230917,scheduling_failure
best_alns_400iter,40,47.6,12.209456878393645,43.15243165341657,38.01550766683179,46.273985886011374,on_time
best_alns_400iter,41,43.9,13.702472947386859,36.548205056662084,71.50878424356007,85.5430558033808,scheduling_failure
best_alns_400iter,42,24.2,7.3784853218957185,19.05694763255117,2.2354329544468916,8.03234349255767,on_time
best_alns_400iter,43,45.5,12.148067081177345,41.77963562119097,42.20633373391442,47.1268021488973,scheduling_failure
best_alns_400iter,44,46.9,9.392901380713575,42.199356492700595,72.30947064786652,80.11363456089902,scheduling_failure
best_alns_400iter,45,32.9,12.976358447268998,28.250335203904545,25.306509546771196,30.948382072101385,on_time
best_alns_400iter,46,41.4,10.503080775420955,40.08226719207329,34.707616701493116,36.049832643033085,on_time
best_alns_400iter,47,28.4,10.54226728056467,26.709321124007165,18.522578147772272,20.213257023765106,on_time
best_alns_400iter,48,30.9,13.62623319001967,24.77228518215078,21.705369772698653,30.719220834202247,on_time
best_alns_400iter,49,29.0,16.538489032128084,24.451156706519562,75.5382332684367,80.0904630743295,scheduling_failure
best_alns_400iter,50,51.2,13.621897150473695,47.02254729397075,72.5056833447342,76.68313605076345,scheduling_failure
best_alns_400iter,51,26.8,9.700937663199486,22.433969511991215,64.12807694983287,71.45159079134473,scheduling_failure
