id,seed,late_count,total_lateness_min,distance_km,runtime_seconds,iterations_per_second,iterations,time_to_best_seconds,best_update_count
baseline,2026080500,70,2352.5234214143807,639.4177460505894,58.00065599998925,27.344518310280733,,56.404358199986746,190
cand32,2026080500,70,2354.09204486262,638.6241115683603,58.00065299999551,26.05143083475486,,56.96379579999484,189
cand40,2026080500,70,2352.5234214143807,639.4177460505894,58.00096059999487,27.120240487881492,,56.54985159999342,190
rank16,2026080500,72,2506.3926452687797,650.0943846221699,58.00091470000916,30.585724538577317,,48.37925470000482,158
exact32,2026080500,71,2414.8354083125464,655.7917466989306,58.000805499992566,27.82719974466918,,49.94453509998857,132
destroy06,2026080500,71,2518.868436979432,662.0834178829808,58.00067989999661,43.99948421984186,,57.106232599995565,218
destroy05,2026080500,73,2381.4444631969645,644.8624791566939,58.00081599999976,53.70614096187911,,57.77581170000485,266
combo,2026080500,70,2308.3581260773535,641.9060967904575,58.001393200000166,51.37807620800377,,56.128732500001206,271
